instance,family,keep,K,customers,num_seeds,pool_size_before_cap,master_pool_cap,pool_size,best_single_lns_score,ortools_seconds,ortools_solved,ortools_score,exact_seconds,exact_feasible,exact_score,neal_seconds,neal_valid_samples,neal_num_reads,neal_best_score,swap_seconds,swap_valid,swap_restarts,swap_best_score,total_seconds
c108,C,100,10,100,8,10,600,10,828.9368669428338,30.04102308023721,True,828.9368669428341,0.00030861422419548035,True,828.9368669428338,0.16906457394361496,1000,1000,828.9368669428338,0.45363947562873363,200,200,828.9368669428338,2997.270814985037
c109,C,70,7,70,8,7,600,7,608.7737696654074,30.03668853826821,True,635.0347302047791,0.0001322682946920395,True,608.7737696654074,0.11587679106742144,1000,1000,608.7737696654073,0.4068882903084159,200,200,608.7737696654073,1775.4645040528849
c109,C,100,10,100,8,33,600,33,828.9368669428338,30.039810620248318,True,881.0439401677227,0.0007185405120253563,True,828.9368669428338,0.5508946590125561,174,1000,828.9368669428338,7.832563481293619,200,200,828.9368669428338,2831.65248065535
c201,C,70,2,70,8,100,600,100,47553.85100825903,30.03994622360915,True,49135.63971681056,0.0011592544615268707,True,47514.44681013055,1.9402825767174363,48,1000,47514.44681013055,7.589885001070797,200,200,47514.44681013055,8494.769144723192
c201,C,100,3,100,8,3,600,3,591.5565566715014,30.040332649834454,True,591.5565566715014,0.00012878235429525375,True,591.5565566715015,0.06736210081726313,1000,1000,591.5565566715014,0.41672772634774446,200,200,591.5565566715014,11645.584754668176
c202,C,70,2,70,8,26,600,26,3050.681957255875,30.003174141049385,True,5990.6986932457585,0.00031943898648023605,True,2812.29006821458,0.3365816017612815,127,1000,2812.29006821458,7.015634942799807,200,200,2812.29006821458,8264.55840362329
c202,C,100,3,100,8,7,600,7,591.5565566715014,30.002960881218314,True,591.5565566715015,0.00022936426103115082,True,591.5565566715015,0.09245543833822012,299,1000,591.5565566715014,6.1324362233281136,200,200,591.5565566715014,11862.880906335078
c203,C,70,2,70,8,104,600,104,3107.669160804813,30.00239695701748,True,2285.461512817181,0.001076885499060154,True,2539.415623346314,2.079827972687781,66,1000,2539.415623346314,7.6221155151724815,200,200,2539.415623346314,8229.402057407424
c203,C,100,3,100,8,340,600,340,644.7802984136357,30.004162565805018,True,600.2061024282012,0.007349451072514057,True,604.5794640291487,14.60528479795903,1,1000,619.0979419654254,10.78170635458082,196,200,604.5794640291487,11883.581062135287
c204,C,70,2,70,8,282,600,282,2407.0944319221676,30.002733909524977,True,4642.224054926836,0.002825976349413395,True,1668.379835583593,10.015500776469707,42,1000,1804.262265925996,7.589554796926677,200,200,1804.2622659259957,8334.585804169066
c204,C,100,3,100,8,605,600,600,865.7357787055296,30.00291984435171,True,1217.1356504034159,0.027667359448969364,True,698.1189548411242,37.47155064716935,1,1000,792.6000616100382,10.546777647919953,184,200,698.1189548411242,11783.879297641106
