family,n_cases,exact_feasible_rate,mean_exact_score,mean_exact_seconds,n_exact_skipped,mean_neal_valid_rate,mean_neal_best_score,mean_swap_valid_rate,mean_swap_best_score,ortools_solved_rate,mean_ortools_score,n_beat_or_tied_ortools
C,34,1.0,3663.1448794851235,0.0015240895616657594,0,0.5766764705882352,3670.369674674217,0.9969117647058825,3667.167068164157,1.0,4418.034124619647,32
R,24,1.0,8069.745103040855,83.71243258519098,2,0.0005416666666666666,5435.0619343354665,0.4512500000000001,8267.547308334731,1.0,8938.526469502427,21
RC,32,1.0,8871.240700833872,13.979091089073336,0,0.017281250000000005,10510.986959915701,0.7328125,9315.980512329646,1.0,11829.548757171588,20
